weight,height
62,163.8
70,165
53.5,166.9
66,167.1
67,166.7
68,167.2
82,167.1
75,168
67,169.2
57,170.6
68,170.5
70,171.5
79,170.9
91,172
93,171.2
66,174.6
73,174.6
73.5,174.6
82,174.6
64,174.9
70,175
69,175.2
71,175.6
72.1,175.3
80.3,175.7
86,175.3
87,175.2
124.2,175.2
68,176
73.5,176.1
73.5,176.1
74,176.1
85,176
68,177
69,177.1
73,177
83.5,177.1
61.5,178.1
71.5,177.6
73,177.4
80.5,178
82,178.1
93.5,178
97,178
92,179.1
87.5,179.8
92.8,180.2
76,180.3
77.8,180.4
83.4,180.2
86.4,180.3
88.9,180.2
72.2,180.8
72.3,180.9
72.5,180.8
67,181.2
75.2,181.4
79.2,181.4
76.1,181.9
75.7,182.2
75.9,183.1
79.8,183.2
87.7,183.1
89.6,183.3
68.8,184.5
82.5,185.3
83,185,4
84,185.4
93.4,185.7
72.2,186.2
79.4,186.9
92.2,186.1
80.2,188
82.6,188.2
83.9,188.1
84,188
90.3,188
90.3,188
90.3,188
91.2,188
93.1,188.2
102.1,192
96.5,193
80.2,194.2
91,198







